titulo,plataforma,area,carga_horaria,nivel,url,certificado
AI-900 - Fundamentos de IA no Azure,Escola Virtual (Fundação Bradesco),,,,https://www.ev.org.br/cursos/AI900Azure,Gratuito
Como Conseguir um Novo Emprego,Escola Virtual (Fundação Bradesco),,,,https://www.ev.org.br/cursos/Como-Conseguir-um-Novo-Emprego,Gratuito
Comunicação e Mobilização com IA,Escola Virtual (Fundação Bradesco),,,,https://www.ev.org.br/cursos/comunicacao_IA,Gratuito
Comunicação Empresarial,Escola Virtual (Fundação Bradesco),,,,https://www.ev.org.br/cursos/comunicacao-empresarial,Gratuito
"Comunicação Escrita: Ortografia, Gramática e Texto",Escola Virtual (Fundação Bradesco),,,,https://www.ev.org.br/cursos/comunicacao_escrita,Gratuito
Conceitos de Aprendizagem Criativa,Escola Virtual (Fundação Bradesco),,,,https://www.ev.org.br/cursos/conceitos-de-aprendizagem-criativa,Gratuito
Construindo minha Proteção Financeira ,Escola Virtual (Fundação Bradesco),,,,https://www.ev.org.br/cursos/Construindo-minha-Protecao-Financeira,Gratuito
"Crie um site simples usando HTML, CSS e JavaScript",Escola Virtual (Fundação Bradesco),,,,https://www.ev.org.br/cursos/crie-um-site-simples-usando-html-css-e-javascript,Gratuito
Cultura Digital,Escola Virtual (Fundação Bradesco),,,,https://www.ev.org.br/cursos/cultura-digital,Gratuito
Desenvolvimento Profissional,Escola Virtual (Fundação Bradesco),,,,https://www.ev.org.br/cursos/desenvolvimento-profissional,Gratuito
Design Thinking para Educadores,Escola Virtual (Fundação Bradesco),,,,https://www.ev.org.br/cursos/design-thinking-para-educadores,Gratuito
Estratégia de Negócios,Escola Virtual (Fundação Bradesco),,,,https://www.ev.org.br/cursos/estrategia-de-negocios,Gratuito
Ética na Era da IA,Escola Virtual (Fundação Bradesco),,,,https://www.ev.org.br/cursos/etica_IA,Gratuito
Excel na Prática,Escola Virtual (Fundação Bradesco),,,,https://www.ev.org.br/cursos/excel-na-pratica,Gratuito
FluêncIA em Inteligência Artificial,Escola Virtual (Fundação Bradesco),,,,https://www.ev.org.br/cursos/fluencia,Gratuito
Fundamentos de TI: Hardware e Software,Escola Virtual (Fundação Bradesco),,,,https://www.ev.org.br/cursos/fundamentos-de-ti-hardware-e-software,Gratuito
IA na Prática: Como Dados bem Estruturados fazem a Diferença,Escola Virtual (Fundação Bradesco),,,,https://www.ev.org.br/cursos/IA_pratica,Gratuito
IA para Profissionais da Justiça,Escola Virtual (Fundação Bradesco),,,,https://www.ev.org.br/cursos/justica,Gratuito
IA para profissionais do Direito,Escola Virtual (Fundação Bradesco),,,,https://www.ev.org.br/cursos/IA_Direito,Gratuito
IA para seu novo emprego: Do currículo à entrevista,Escola Virtual (Fundação Bradesco),,,,https://www.ev.org.br/cursos/iaempregos,Gratuito
Inteligência Artificial para Educadores,Escola Virtual (Fundação Bradesco),,,,https://www.ev.org.br/cursos/iaeduc,Gratuito
Inteligência Artificial para Estudantes,Escola Virtual (Fundação Bradesco),,,,https://www.ev.org.br/cursos/iaestudantes,Gratuito
Inteligência Artificial para ONGs,Escola Virtual (Fundação Bradesco),,,,https://www.ev.org.br/cursos/ONGS,Gratuito
Inteligência Artificial para Pequenas e Médias Empresas,Escola Virtual (Fundação Bradesco),,,,https://www.ev.org.br/cursos/pmes,Gratuito
Introdução à Análise de Dados - Microsoft Power BI,Escola Virtual (Fundação Bradesco),,,,https://www.ev.org.br/cursos/introducao-a-analise-de-dados-microsoft-power-bi,Gratuito
Introdução à Gestão de Projetos,Escola Virtual (Fundação Bradesco),,,,https://www.ev.org.br/cursos/introducao-a-gestao-de-projetos,Gratuito
Introdução ao Scratch: Linguagem de Programação na Computação Criativa,Escola Virtual (Fundação Bradesco),,,,https://www.ev.org.br/cursos/introducao-ao-scratch-linguagem-de-programacao-na-computacao-criativa,Gratuito
Linguagem de Programação Python - Básico,Escola Virtual (Fundação Bradesco),,,,https://www.ev.org.br/cursos/linguagem-de-programacao-python-basico,Gratuito
Microsoft Excel 2016 - Básico,Escola Virtual (Fundação Bradesco),,,,https://www.ev.org.br/cursos/microsoft-excel-2016-basico,Gratuito
Microsoft Office 365 - Conhecendo o OneDrive,Escola Virtual (Fundação Bradesco),,,,https://www.ev.org.br/cursos/microsoft-office-365-conhecendo-o-onedrive,Gratuito
Microsoft Office 365 - Conhecendo o OneNote,Escola Virtual (Fundação Bradesco),,,,https://www.ev.org.br/cursos/microsoft-office-365-conhecendo-o-onenote,Gratuito
Microsoft Office 365 - Conhecendo o Outlook,Escola Virtual (Fundação Bradesco),,,,https://www.ev.org.br/cursos/microsoft-office-365-conhecendo-o-outlook,Gratuito
Microsoft Office 365 - Conhecendo o Planner,Escola Virtual (Fundação Bradesco),,,,https://www.ev.org.br/cursos/microsoft-office-365-conhecendo-o-planner,Gratuito
Microsoft Office 365 - Conhecendo o Teams,Escola Virtual (Fundação Bradesco),,,,https://www.ev.org.br/cursos/microsoft-office-365-conhecendo-o-teams,Gratuito
Microsoft PowerPoint 2016 - Básico,Escola Virtual (Fundação Bradesco),,,,https://www.ev.org.br/cursos/microsoft-powerpoint-2016-basico,Gratuito
Microsoft Word 2016 - Básico,Escola Virtual (Fundação Bradesco),,,,https://www.ev.org.br/cursos/microsoft-word-2016-basico,Gratuito
PowerPoint na Prática,Escola Virtual (Fundação Bradesco),,,,https://www.ev.org.br/cursos/powerpoint-na-pratica,Gratuito
Resiliência,Escola Virtual (Fundação Bradesco),,,,https://www.ev.org.br/cursos/resiliencia,Gratuito
"Scratch, suas extensões e computação física",Escola Virtual (Fundação Bradesco),,,,https://www.ev.org.br/cursos/scratch-suas-extensoes-e-computacao-fisica,Gratuito
Soluções de IA no GitHub,Escola Virtual (Fundação Bradesco),,,,https://www.ev.org.br/cursos/github,Gratuito
Word na Prática,Escola Virtual (Fundação Bradesco),,,,https://www.ev.org.br/cursos/word-na-pratica,Gratuito
Microsoft Excel 2016 - Intermediário,Escola Virtual (Fundação Bradesco),,,,https://www.ev.org.br/cursos/microsoft-excel-2016-intermediario,Gratuito
Microsoft Word 2016 - Intermediário,Escola Virtual (Fundação Bradesco),,,,https://www.ev.org.br/cursos/microsoft-word-2016-intermediario,Gratuito
Administrando Banco de Dados,Escola Virtual (Fundação Bradesco),,,,https://www.ev.org.br/cursos/administrando-banco-de-dados,Gratuito
Análise de Dados no Power BI,Escola Virtual (Fundação Bradesco),,,,https://www.ev.org.br/cursos/analise-de-dados-no-power-bi,Gratuito
Contabilidade Empresarial,Escola Virtual (Fundação Bradesco),,,,https://www.ev.org.br/cursos/Contabilidade-Empresarial,Gratuito
Microsoft Excel 2016 - Avançado,Escola Virtual (Fundação Bradesco),,,,https://www.ev.org.br/cursos/microsoft-excel-2016-avancado,Gratuito
Microsoft PowerPoint 2016 - Avançado,Escola Virtual (Fundação Bradesco),,,,https://www.ev.org.br/cursos/microsoft-powerpoint-2016-avancado,Gratuito
Microsoft Word 2016 - Avançado,Escola Virtual (Fundação Bradesco),,,,https://www.ev.org.br/cursos/microsoft-word-2016-avancado,Gratuito
